"country","year","democracy_score","life_expectancy","expected_schooling","gni_per_capita"
"Albania",2013,9,77.4,10.8,9225
"Algeria",2013,2,71,14,12555
"Angola",2013,-2,51.9,11.4,6323
"Argentina",2013,8,76.3,16.4,17297
"Armenia",2013,5,74.6,12.3,7952
"Australia",2013,10,82.5,19.9,41524
"Austria",2013,10,81.1,15.6,42930
"Azerbaijan",2013,-7,70.8,11.8,15725
"Bahrain",2013,-10,76.6,14.4,32072
"Belgium",2013,8,80.5,16.2,39471
"Benin",2013,7,59.3,11,1726
"Burkina Faso",2013,0,56.3,7.5,1602
"Bhutan",2013,5,68.3,12.4,6775
"Belarus",2013,-7,69.9,15.7,16403
"Bangladesh",2013,4,70.7,10,2713
"Botswana",2013,8,64.4,11.7,14792
"Brazil",2013,8,73.9,15.2,14275
"Burundi",2013,6,54.1,10.1,749
"Bulgaria",2013,9,73.5,14.3,15402
"Cambodia",2013,2,71.9,10.9,2805
"Canada",2013,10,81.5,15.9,41887
"Cameroon",2013,-4,55.1,10.4,2557
"Cape Verde",2013,10,75.1,13.2,6365
"Central African Republic",2013,0,50.2,7.2,588
"Chad",2013,-2,51.2,7.4,1622
"Chile",2013,10,80,15.1,20804
"China",2013,-7,75.3,12.9,11477
"Colombia",2013,7,74,13.2,11527
"Comoros",2013,9,60.9,12.8,1505
"Costa Rica",2013,10,79.9,13.5,13012
"Croatia",2013,9,77,14.5,19025
"Cuba",2013,-7,79.3,14.5,19844
"Cyprus",2013,10,79.8,14,26771
"Czech Republic",2013,9,77.7,16.4,24535
"Denmark",2013,10,79.4,16.9,42880
"Djibouti",2013,4,61.8,6.4,3109
"Dominican Republic",2013,8,73.4,12.3,10844
"Ecuador",2013,5,76.5,12.3,9998
"Egypt",2013,-4,71.2,13,10400
"Equatorial Guinea",2013,-5,53.1,8.5,21972
"Eritrea",2013,-7,62.9,4.1,1147
"Estonia",2013,9,74.4,16.5,23387
"Ethiopia",2013,-3,63.6,8.5,1303
"Finland",2013,10,80.5,17,37366
"Fiji",2013,-4,69.8,15.7,7214
"France",2013,9,81.8,16,36629
"Gabon",2013,3,63.5,12.3,16977
"Gambia",2013,-5,58.8,9.1,1557
"Ghana",2013,8,61.1,11.5,3532
"Germany",2013,10,80.7,16.3,43049
"Guinea-Bissau",2013,1,54.3,9,1090
"Greece",2013,10,80.8,16.5,24658
"Georgia",2013,7,74.3,13.2,6890
"Guatemala",2013,8,72.1,10.7,6866
"Guinea",2013,4,56.1,8.7,1142
"Guyana",2013,6,66.3,10.7,6341
"Haiti",2013,0,63.1,7.6,1636
"Honduras",2013,7,73.8,11.6,4138
"Hungary",2013,10,74.6,15.4,21239
"India",2013,9,66.4,11.7,5150
"Indonesia",2013,8,70.8,12.7,8970
"Ireland",2013,10,80.7,18.6,33414
"Iraq",2013,3,69.4,10.1,14007
"Israel",2013,10,81.8,15.7,29966
