state,ideology,name,party
AL,0.968,"Ainsworth, Will",R
AL,-0.337,"Alexander, Louise",D
AL,0.739,"Baker, Alan",R
AL,0.824,"Ball, Mike",R
AL,-0.722,"Bandy, George C",D
AL,0.787,"Beckman, Paul",R
AL,0.103,"Beech, Elaine",D
AL,-0.194,"Black, Marcel",D
AL,0.85,"Blackshear, Chris",R
AL,0.805,"Boothe, Alan C",R
AL,-0.474,"Boyd, Barbara Bigsby",D
AL,-0.619,"Bracy, Napoleon Jr.",D
AL,0.954,"Brown, Koven",R
AL,-0.586,"Buskey, James E",D
AL,1.116,"Butler, Mack N",R
AL,1.104,"Carns, Jim",R
AL,0.9,"Chesteen, Donnie",D
AL,-0.176,"Clarke, Adline Cecline",D
AL,0.818,"Clouse, Steve",R
AL,-0.575,"Coleman-Evans, Merika",D
AL,1.042,"Collins, Terri",R
AL,0.702,"Crawford, Danny",R
AL,-0.338,"Daniels, Anthony",D
AL,0.87,"Davis, Randy",R
AL,0.996,"Drake, E. Richard",R
AL,-0.493,"Drummond, Barbara",D
AL,-0.621,"England, Christopher John",D
AL,1.001,"Farley, Allen",R
AL,0.935,"Faulkner, David",R
AL,0.695,"Faust, Joe Sr.",R
AL,0.989,"Fincher, Bob",R
AL,-0.132,"Ford, Craig",D
AL,-0.312,"Forte, Berry",D
AL,0.996,"Fridy, Matt",R
AL,0.919,"Garrett, Danny",R
AL,0.861,"Gaston, Victor",R
AL,-0.38,"Givan, Juandalynn",D
AL,0.814,"Greer, Lynn",R
AL,-0.582,"Grimsley, Dexter",D
AL,-0.552,"Hall, Laura",D
AL,1.021,"Hammon, Micky",R
AL,0.749,"Hanes, James T.",R
AL,0.869,"Harbison, Corey",R
AL,0.498,"Harper, Alan",R
AL,1.136,"Henry, William",R
AL,0.818,"Hill, Jim",R
AL,0.709,"Hill, Mike",R
AL,-0.573,"Holmes, Alvin",D
AL,0.782,"Holmes, Mike",R
AL,-0.56,"Howard, Ralph A",D
AL,1.027,"Hubbard, Mike",R
AL,0.573,"Hurst, Stephen W",R
AL,0.874,"Ingram, Reed",R
AL,-0.433,"Jackson, Thomas Jr.",D
AL,1.338,"Johnson, Ken",R
AL,0.602,"Johnson, Ronald G",R
AL,0.871,"Jones, Mike Jr.",R
AL,-0.687,"Knight, John Jr.",D
AL,-0.433,"Lawrence, Kelvin J.",D
AL,1.059,"Ledbetter, Nathaniel",R
AL,0.997,"Lee, Paul",R
AL,-0.103,"Lindsey, Richard J",D
AL,0.671,"Martin, James M",R
AL,-0.475,"McCampbell, Artis",D
AL,-0.715,"McClammy, Thad",D
AL,0.818,"McCutcheon, Mac",R
AL,0.787,"McMillan, Stephen",R
AL,-0.685,"Melton, Darrio",D
AL,0.652,"Millican, Michael",R
AL,0.845,"Mooney, Arnold",R
AL,1.041,"Moore, Barry",R
AL,-0.664,"Moore, Mary",D
AL,0.045,"Morrow, Johnny Mack",D
AL,0.796,"Nordgren, Becky",R
AL,1.17,"Patterson, James Jr.",R
AL,0.972,"Pettus, Phillip",R
AL,0.843,"Polizos, Dimitri",R
AL,0.916,"Poole, William III",R
AL,0.919,"Pringle, Chris",R
AL,0.918,"Rich, Kerry",R
AL,-0.461,"Robinson, Oliver",D
AL,-0.524,"Rogers Jr, John W",D
AL,0.813,"Rowe, Connie Cooner",R
AL,0.877,"Sanderford, Howard",R
AL,-0.412,"Scott, Roderick",D
AL,0.888,"Sells, Chris",R
AL,0.909,"Sessions, David",R
AL,0.906,"Shedd, Randall",R
AL,0.686,"Shiver, Harry",R
AL,0.876,"South, Kyle",R
AL,0.725,"Standridge, David",R
AL,-0.441,"Todd, Patricia",D
AL,0.872,"Treadaway, Benjamin",R
AL,1.118,"Tuggle, Mark M",R
AL,0.577,"Wadsworth, Timothy R.",R
AL,-0.394,"Warren, Pebblin W",D
AL,1.003,"Weaver, April",R
AL,0.578,"Whorton, Issac",R
AL,0.752,"Whorton, Ritchie",R
AL,0.948,"Wilcox, Margie",R
AL,0.932,"Williams, Jack D,",R
AL,0.917,"Williams, Jack W.",R
AL,0.814,"Williams, Phillip",R
AL,1.111,"Wingo, Rich",R
AL,0.99,"Wood, Randy",R
AK,0.911,"Chenault, Charles",R
AK,-0.339,"Claman, Matt",D
AK,0.559,"Colver, Jim",R
AK,-0.694,"Drummond, Harriet",D
AK,0.275,"Edgmon, Bryce",D
AK,0.43,"Foster, Neal",D
AK,-0.69,"Gara, Les",D
AK,0.935,"Gattis, Lynn",R
AK,-0.353,"Gruenberg, Max Jr.",D
AK,-0.659,"Guttenberg, David",D
AK,0.791,"Hawker, Mike",R
AK,0.515,"Herron, Bob",D
AK,0.972,"Hughes, Shelley",R
AK,1.037,"Johnson, Craig",R
AK,-0.826,"Josephson, Andrew",D
AK,-0.488,"Kawasaki, Scott",D
AK,0.804,"Keller, Wes",R
AK,-0.478,"Kito, Sam S.",D
AK,-0.304,"Kreiss-Tomkins, Jonathan",D
AK,0.507,"LeDoux, Gabrielle",R
AK,0.632,"Lynn, Bob",R
AK,0.869,"Millett, Charisse",R
AK,0.516,"Muñoz, Cathy",R
AK,0.527,"Nageak, Benjamin",D
AK,0.818,"Neuman, Mark",R
AK,0.891,"Olson, Kurt",R
AK,0.918,"Pruitt, Lance",R
AK,0.547,"Reinbold, Lora",R
AK,1.005,"Saddler, Dan",R
AK,0.571,"Seaton, Paul",R
