elec_id,country,date,presidential,legislative_type,elecrule,tier1_formula,tier2_formula,tier3_formula,tier4_formula,mixed_type,multi,multi_linked,seats,tier1_avemag,tier1_districts,upperseats,uppertier,tier2_districts,tier3_districts,tier4_districts,enep,enep_others,enep1,enpp,enpp_others,enpp1,enpres,preselecrule,region1,region2,region3,aclp_code,ccode,ccode2,year,month,day,regime,secondround,thirdround
L-AAB-1984-4-17,Antigua & Barbuda,17-Apr-84,0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,0,0,0,0,1.92,7.2,1.94,1.12,5.9,1.13,NA,NA,8,8,7,144,58,58,1984,4,17,0,NA,NA
L-AAB-1989-3-9,Antigua & Barbuda,9-Mar-89,0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,0,0,0,0,1.98,0.9,1.98,1.27,0,1.27,NA,NA,8,8,7,144,58,58,1989,3,9,0,NA,NA
L-AAB-1994-3-8,Antigua & Barbuda,8-Mar-94,0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,0,0,0,0,2.07,0,2.07,1.97,0,1.97,NA,NA,8,8,7,144,58,58,1994,3,8,0,NA,NA
L-AAB-1999-3-9,Antigua & Barbuda,9-Mar-99,0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,0,0,0,0,2.09,1.4,2.095,1.8,0,1.8,NA,NA,8,8,7,144,58,58,1999,3,9,0,NA,NA
L-AAB-2004-3-23,Antigua & Barbuda,23-Mar-04,0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,0,0,0,0,2.07,2,2.071286358,1.8,0,1.8,NA,NA,8,8,7,144,58,58,2004,3,23,0,NA,NA
L-AAB-2009-3-12,Antigua & Barbuda,12-Mar-09,0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,0,0,0,0,2.07,0.5,2.070074989,2.21,0,2.21,NA,NA,8,8,7,144,58,58,2009,3,12,0,NA,NA
L-AAB-2014-6-12,Antigua and Barbuda,12-Jun-14,0,1,1,1,NA,NA,NA,NA,0,0,17,1,17,0,NA,0,0,0,2.02167,0,2.02167,1.409756,0,1.409756,NA,NA,8,8,7,144,58,58,2014,6,12,0,NA,NA
L-ALB-1992-3-22,Albania,22-Mar-92,0,3,11,4,13,NA,NA,4,1,1,140,1,100,40,28.57,1,0,0,2.19,0.2,2.19,1.95,0,1.95,NA,NA,9,9,4,143,339,339,1992,3,22,0,29-Mar-92,NA
L-ALB-1996-5-26,Albania,26-May-96,0,3,12,4,12,NA,NA,2,1,0,140,1,115,25,17.86,1,0,0,2.73,9.4,2.785,1.31,0,1.31,NA,NA,9,9,4,143,339,339,1996,5,26,0,2-Jun-96,NA
L-ALB-1997-6-29,Albania,29-Jun-97,0,3,12,4,13,NA,NA,2,1,0,155,1,115,40,25.8,1,0,0,2.87,0,2.87,2.07,0,2.07,NA,NA,9,9,4,143,339,339,1997,6,29,0,6-Jul-97,NA
L-ALB-2001-6-24,Albania,24-Jun-01,0,3,11,4,13,NA,NA,4,1,1,140,1,100,40,28.57,1,0,0,3.09,9.8,3.129792891,2.6,2,2.6,NA,NA,9,9,4,143,339,339,2001,6,24,0,8-Jul-01,NA
L-ALB-2005-7-3,Albania,3-Jul-05,0,3,11,1,13,NA,NA,4,1,1,140,1,100,40,28.57,1,0,0,10.46,9.6,11.5060119,3.75,0.714285714,3.750358806,NA,NA,9,9,4,143,339,339,2005,7,3,0,NA,NA
L-ALB-2009-6-28,Albania,28-Jun-09,0,2,9,25,NA,NA,NA,NA,0,0,140,11.67,12,0,0,0,0,0,3.18,9.9,3.27698443,2.6,0,2.6,NA,NA,9,9,4,143,339,339,2009,6,28,0,NA,NA
L-ALB-2013-6-23,Albania,23-Jun-13,0,2,9,25,NA,NA,NA,NA,0,0,140,11.67,12,0,NA,0,0,0,3.51184,0,3.51184,2.796804,0,2.796804,NA,NA,9,9,4,143,339,339,2013,6,23,0,NA,NA
L-AND-1993-12-12,Andorra,12-Dec-93,0,3,12,9,13,NA,NA,2,1,0,28,2,7,14,50,1,0,0,4.82,0,4.82,4.96,21.43,6.14,NA,NA,10,10,3,195,232,232,1993,12,12,0,NA,NA
L-AND-1997-2-16,Andorra,16-Feb-97,0,3,12,9,13,NA,NA,2,1,0,28,2,7,14,50,1,0,0,2.6,8,2.62,2.58,0,2.58,NA,NA,10,10,3,195,232,232,1997,2,16,0,NA,NA
L-AND-2001-3-4,Andorra,4-Mar-01,0,3,12,9,13,NA,NA,2,1,0,28,2,7,14,50,1,0,0,3.28,0,3.28,2.7,0,2.7,NA,NA,10,10,3,195,232,232,2001,3,4,0,NA,NA
L-AND-2005-4-24,Andorra,24-Apr-05,0,3,12,9,13,NA,NA,2,1,0,28,2,7,14,50,1,0,0,2.77,0,2.77,2.28,0,2.28,NA,NA,10,10,3,195,232,232,2005,4,24,0,NA,NA
L-AND-2009-4-26,Andorra,26-Apr-09,0,3,12,9,13,NA,NA,2,1,0,28,2,7,14,50,1,0,0,2.94,0,2.94,2.4,0,2.4,NA,NA,10,10,3,195,232,232,2009,4,26,0,NA,NA
L-AND-2011-4-3,Andorra,3-Apr-11,0,3,12,9,13,NA,NA,2,1,0,28,2,7,14,50,1,0,0,2.32,0,2.32,1.78,0,1.78,NA,NA,10,10,3,195,232,232,2011,4,3,0,NA,NA
L-AND-2015-3-1,Andorra,1-Mar-15,0,3,12,9,13,NA,NA,2,1,0,28,2,7,14,50,1,0,0,3.539284,0,3.539284,2.596026,0,2.596026,NA,NA,10,10,3,195,232,232,2015,3,1,0,NA,NA
L-ARG-1946-2-24,Argentina,24-Feb-46,0,1,7,10,NA,NA,NA,NA,0,0,158,10.53,15,0,0,0,0,0,5.19,13.8,5.75,3.69,6.3,3.74,NA,NA,7,7,7,66,160,160,1946,2,24,2,NA,NA
L-ARG-1948-3-7,Argentina,7-Mar-48,0,1,7,10,NA,NA,NA,NA,0,0,158,5.27,15,0,0,0,0,0,-99,-99,-99,1.75,0,1.75,NA,NA,7,7,7,66,160,160,1948,3,7,2,NA,NA
L-ARG-1951-11-11,Argentina,11-Nov-51,0,1,1,1,NA,NA,NA,NA,0,0,149,1.07,139,0,0,0,0,0,1.97,0,1.97,1.21,0,1.21,NA,NA,7,7,7,66,160,160,1951,11,11,2,NA,NA
L-ARG-1954-4-25,Argentina,25-Apr-54,0,1,1,1,NA,NA,NA,NA,0,0,157,1.03,152,0,0,0,0,0,1.93,0,1.93,1.26,0,1.26,NA,NA,7,7,7,66,160,160,1954,4,25,2,NA,NA
L-ARG-1958-2-23,Argentina,23-Feb-58,0,1,7,10,NA,NA,NA,NA,0,0,187,8.13,23,0,0,0,0,0,2.83,8.3,2.885,1.72,0,1.72,NA,NA,7,7,7,66,160,160,1958,2,23,2,NA,NA
L-ARG-1960-3-27,Argentina,27-Mar-60,0,1,7,10,NA,NA,NA,NA,0,0,192,4.17,23,0,0,0,0,0,4.93,14.5,5.485,2.12,1,2.12,NA,NA,7,7,7,66,160,160,1960,3,27,2,NA,NA
L-ARG-1962-3-18,Argentina,18-Mar-62,0,1,7,10,NA,NA,NA,NA,0,0,192,4.17,23,0,0,0,0,0,5.49,20.1,7.05,-99,-99,-99,NA,NA,7,7,7,66,160,160,1962,3,18,4,NA,NA
L-ARG-1963-7-7,Argentina,7-Jul-63,0,2,9,25,NA,NA,NA,NA,0,0,192,8.35,23,0,0,0,0,0,5.57,11.1,5.98,4.87,8.9,5.06,NA,NA,7,7,7,66,160,160,1963,7,7,2,NA,NA
L-ARG-1965-3-17,Argentina,17-Mar-65,0,2,9,25,NA,NA,NA,NA,0,0,192,4.17,23,0,0,0,0,0,4.87,10.6,5.155,4.62,1.6,4.62,NA,NA,7,7,7,66,160,160,1965,3,17,2,NA,NA
L-ARG-1973-3-11,Argentina,11-Mar-73,0,2,9,25,NA,NA,NA,NA,0,0,243,10.13,24,0,0,0,0,0,3.19,0.2,3.19,2.9,6.2,2.94,NA,NA,7,7,7,66,160,160,1973,3,11,2,NA,NA
L-ARG-1983-10-30,Argentina,30-Oct-83,0,2,9,25,NA,NA,NA,NA,0,0,254,10.58,24,0,0,0,0,0,2.63,0,2.63,2.19,0,2.19,NA,NA,7,7,7,66,160,160,1983,10,30,2,NA,NA
L-ARG-1985-11-3,Argentina,3-Nov-85,0,2,9,25,NA,NA,NA,NA,0,0,254,5.29,24,0,0,0,0,0,4.24,1.9,4.24,3.36,0,3.36,NA,NA,7,7,7,66,160,160,1985,11,3,2,NA,NA
L-ARG-1987-9-6,Argentina,6-Sep-87,0,2,9,25,NA,NA,NA,NA,0,0,254,5.29,23,0,0,0,0,0,3.14,0.75,3.14,2.63,0,2.63,NA,NA,7,7,7,66,160,160,1987,9,6,2,NA,NA
L-ARG-1989-5-14,Argentina,14-May-89,0,2,9,25,NA,NA,NA,NA,0,0,254,5.29,24,0,0,0,0,0,3.35,0.66,3.35,2.71,0,2.71,NA,NA,7,7,7,66,160,160,1989,5,14,2,NA,NA
L-ARG-1991-10-27,Argentina,27-Oct-91,0,2,9,25,NA,NA,NA,NA,0,0,257,5.42,24,0,0,0,0,0,3.57,1.07,3.57,2.91,4.76,2.93,NA,NA,7,7,7,66,160,160,1991,10,27,2,NA,NA
L-ARG-1993-10-3,Argentina,3-Oct-93,0,2,9,25,NA,NA,NA,NA,0,0,257,5.29,24,0,0,0,0,0,3.37,0.53,3.37,2.7,0,2.7,NA,NA,7,7,7,66,160,160,1993,10,3,2,NA,NA
L-ARG-1995-5-14,Argentina,14-May-95,0,2,9,25,NA,NA,NA,NA,0,0,257,5.42,24,0,0,0,0,0,3.58,1.65,3.58,2.81,0.77,2.81,NA,NA,7,7,7,66,160,160,1995,5,14,2,NA,NA
L-ARG-1997-10-26,Argentina,26-Oct-97,0,2,9,25,NA,NA,NA,NA,0,0,257,5.29,24,0,0,0,0,0,3.65,5.83,3.65,3.33,0,3.33,NA,NA,7,7,7,66,160,160,1997,10,26,2,NA,NA
L-ARG-1999-10-24,Argentina,24-Oct-99,0,2,9,25,NA,NA,NA,NA,0,0,257,5.42,24,0,0,0,0,0,3.15,8.61,3.225,2.57,0,2.57,NA,NA,7,7,7,66,160,160,1999,10,24,2,NA,NA
L-ARG-2001-10-14,Argentina,14-Oct-01,0,2,9,25,NA,NA,NA,NA,0,0,257,5.29,24,0,0,0,0,0,4.66,10.3,4.869394081,2.84,0.389105058,2.84006106,NA,NA,7,7,7,66,160,160,2001,10,14,2,NA,NA
L-ARG-2003-4-27,Argentina,27-Apr-03,0,2,9,25,NA,NA,NA,NA,0,0,257,5.42,24,0,0,0,0,0,4.61,25.8,6.617004911,4.09,5.058365759,4.12464934,NA,NA,7,7,7,66,160,160,2003,4,27,2,NA,NA
L-ARG-2005-10-23,Argentina,23-Oct-05,0,2,9,25,NA,NA,NA,NA,0,0,257,5.29,24,0,0,0,0,0,6.16,21.5,8.572823322,5.81,2.723735409,5.825906505,NA,NA,7,7,7,66,160,160,2005,10,23,2,NA,NA
L-ARG-2007-10-28,Argentina,28-Oct-07,0,2,9,25,NA,NA,NA,NA,0,0,257,5.42,24,0,0,0,0,0,-99,-99,-99,3.19,7.392996109,3.474679576,NA,NA,7,7,7,66,160,160,2007,10,28,2,NA,NA
