state,quarter,percent_change_in_gdp,ideology
Connecticut,Q1,-5.5,62.50349044799805
Maine,Q1,3,46.28472137451172
Massachusetts,Q1,5.1,61.215110778808594
New Hampshire,Q1,9.5,33.10438919067383
Rhode Island,Q1,1.2,69.3033218383789
Vermont,Q1,2,58.75832748413086
Delaware,Q1,2.4,60.11323165893555
Maryland,Q1,-2.9,44.25162124633789
New Jersey,Q1,-2.3,54.59703063964844
New York,Q1,3.5,67.66743469238281
Pennsylvania,Q1,-0.5,49.74489974975586
Illinois,Q1,-2.1,48.46238708496094
Indiana,Q1,0.7,24.70447540283203
Michigan,Q1,0.5,27.27734375
Ohio,Q1,0.7,26.55548858642578
Wisconsin,Q1,0.7,20.984237670898438
Iowa,Q1,-4.5,26.008804321289062
Kansas,Q1,-6.1,23.61310577392578
Minnesota,Q1,0.8,51.93389892578125
Missouri,Q1,-2.3,25.064674377441406
Nebraska,Q1,-3,24.28571319580078
North Dakota,Q1,-5.3,31.388328552246094
South Dakota,Q1,-0.4,29.678070068359375
Alabama,Q1,2.4,24.474624633789062
Arkansas,Q1,1,26.676727294921875
Florida,Q1,1.8,26.30193328857422
Georgia,Q1,1.5,19.118560791015625
Kentucky,Q1,-2,22.513656616210938
Louisiana,Q1,2.2,49.628910064697266
Mississippi,Q1,-0.3,28.864852905273438
North Carolina,Q1,0.7,45.701290130615234
South Carolina,Q1,1.5,17.78448486328125
Tennessee,Q1,-0.2,23.999549865722656
Virginia,Q1,0.8,46.93727493286133
West Virginia,Q1,6.6,42.27238464355469
Arizona,Q1,2.5,18.871355056762695
New Mexico,Q1,0.6,44.61860656738281
Oklahoma,Q1,4.6,24.7269287109375
Texas,Q1,4.2,21.09136199951172
Colorado,Q1,2.4,56.348995208740234
Idaho,Q1,0.4,22.53520965576172
Montana,Q1,-1.6,43.9496955871582
Utah,Q1,0.4,20.113540649414062
Wyoming,Q1,2.6,23.12206268310547
Alaska,Q1,-0.5,40.99030303955078
California,Q1,-0.3,70.38420867919922
Hawaii,Q1,6,69.13983917236328
Nevada,Q1,1.9,45.597965240478516
Oregon,Q1,-0.6,66.78907012939453
Washington,Q1,2.4,61.82231521606445
Connecticut,Q2,3.1,62.50349044799805
Maine,Q2,-2.8,46.28472137451172
Massachusetts,Q2,1,61.215110778808594
New Hampshire,Q2,-2.9,33.10438919067383
Rhode Island,Q2,4.2,69.3033218383789
Vermont,Q2,0.8,58.75832748413086
Delaware,Q2,-9.7,60.11323165893555
Maryland,Q2,2.6,44.25162124633789
New Jersey,Q2,3.4,54.59703063964844
New York,Q2,-1.3,67.66743469238281
Pennsylvania,Q2,3.2,49.74489974975586
Illinois,Q2,1.9,48.46238708496094
Indiana,Q2,0,24.70447540283203
Michigan,Q2,0.4,27.27734375
Ohio,Q2,1.7,26.55548858642578
Wisconsin,Q2,-0.9,20.984237670898438
Iowa,Q2,3,26.008804321289062
Kansas,Q2,-0.3,23.61310577392578
Minnesota,Q2,2.7,51.93389892578125
Missouri,Q2,5,25.064674377441406
Nebraska,Q2,4.4,24.28571319580078
North Dakota,Q2,17.8,31.388328552246094
South Dakota,Q2,-0.9,29.678070068359375
Alabama,Q2,0.2,24.474624633789062
Arkansas,Q2,2.3,26.676727294921875
Florida,Q2,-0.3,26.30193328857422
Georgia,Q2,1.9,19.118560791015625
Kentucky,Q2,3.8,22.513656616210938
Louisiana,Q2,-0.8,49.628910064697266
Mississippi,Q2,-2.2,28.864852905273438
North Carolina,Q2,3.3,45.701290130615234
South Carolina,Q2,2.9,17.78448486328125
Tennessee,Q2,1.7,23.999549865722656
Virginia,Q2,2.8,46.93727493286133
West Virginia,Q2,-1.1,42.27238464355469
Arizona,Q2,1.2,18.871355056762695
New Mexico,Q2,-0.6,44.61860656738281
Oklahoma,Q2,8.7,24.7269287109375
Texas,Q2,4.2,21.09136199951172
Colorado,Q2,3.9,56.348995208740234
Idaho,Q2,6.8,22.53520965576172
Montana,Q2,3.7,43.9496955871582
Utah,Q2,2.7,20.113540649414062
Wyoming,Q2,17.4,23.12206268310547
Alaska,Q2,-1,40.99030303955078
California,Q2,7.4,70.38420867919922
Hawaii,Q2,-2.2,69.13983917236328
Nevada,Q2,4.5,45.597965240478516
Oregon,Q2,4.8,66.78907012939453
Washington,Q2,4.7,61.82231521606445
Connecticut,Q3,4.6,62.50349044799805
Maine,Q3,6.8,46.28472137451172
Massachusetts,Q3,5.2,61.215110778808594
New Hampshire,Q3,7.9,33.10438919067383
Rhode Island,Q3,4.5,69.3033218383789
Vermont,Q3,0.5,58.75832748413086
Delaware,Q3,13.1,60.11323165893555
Maryland,Q3,5.4,44.25162124633789
New Jersey,Q3,2.8,54.59703063964844
New York,Q3,3,67.66743469238281
Pennsylvania,Q3,4.5,49.74489974975586
Illinois,Q3,3.6,48.46238708496094
Indiana,Q3,1.4,24.70447540283203
Michigan,Q3,4.2,27.27734375
Ohio,Q3,4.3,26.55548858642578
Wisconsin,Q3,7.5,20.984237670898438
Iowa,Q3,-4.3,26.008804321289062
Kansas,Q3,3.8,23.61310577392578
Minnesota,Q3,-4.1,51.93389892578125
Missouri,Q3,0.4,25.064674377441406
Nebraska,Q3,0.3,24.28571319580078
North Dakota,Q3,-8.4,31.388328552246094
South Dakota,Q3,1.5,29.678070068359375
Alabama,Q3,0.5,24.474624633789062
Arkansas,Q3,-1.9,26.676727294921875
Florida,Q3,3.2,26.30193328857422
Georgia,Q3,3.9,19.118560791015625
Kentucky,Q3,1.4,22.513656616210938
Louisiana,Q3,-0.1,49.628910064697266
Mississippi,Q3,3,28.864852905273438
North Carolina,Q3,1.4,45.701290130615234
South Carolina,Q3,0,17.78448486328125
Tennessee,Q3,5.2,23.999549865722656
Virginia,Q3,3.7,46.93727493286133
West Virginia,Q3,10.2,42.27238464355469
Arizona,Q3,10.2,18.871355056762695
New Mexico,Q3,5.5,44.61860656738281
Oklahoma,Q3,-5.5,24.7269287109375
Texas,Q3,4.4,21.09136199951172
Colorado,Q3,7.9,56.348995208740234
Idaho,Q3,1,22.53520965576172
Montana,Q3,-2.7,43.9496955871582
Utah,Q3,6.8,20.113540649414062
Wyoming,Q3,-1.6,23.12206268310547
Alaska,Q3,8.5,40.99030303955078
California,Q3,2,70.38420867919922
Hawaii,Q3,2.3,69.13983917236328
Nevada,Q3,7.3,45.597965240478516
Oregon,Q3,3.4,66.78907012939453
Washington,Q3,5.8,61.82231521606445
Connecticut,Q4,2.4,62.50349044799805
Maine,Q4,2.6,46.28472137451172
Massachusetts,Q4,2.4,61.215110778808594
New Hampshire,Q4,2.5,33.10438919067383
Rhode Island,Q4,2.7,69.3033218383789
Vermont,Q4,2.3,58.75832748413086
Delaware,Q4,0.2,60.11323165893555
Maryland,Q4,1.2,44.25162124633789
New Jersey,Q4,2.1,54.59703063964844
New York,Q4,0,67.66743469238281
Pennsylvania,Q4,2.5,49.74489974975586
Illinois,Q4,2.7,48.46238708496094
Indiana,Q4,2.7,24.70447540283203
Michigan,Q4,2.4,27.27734375
Ohio,Q4,1.8,26.55548858642578
Wisconsin,Q4,3.1,20.984237670898438
Iowa,Q4,0.7,26.008804321289062
Kansas,Q4,2.3,23.61310577392578
Minnesota,Q4,1.5,51.93389892578125
Missouri,Q4,2.1,25.064674377441406
Nebraska,Q4,0.9,24.28571319580078
North Dakota,Q4,-1.3,31.388328552246094
South Dakota,Q4,-0.5,29.678070068359375
Alabama,Q4,2.8,24.474624633789062
Arkansas,Q4,2.5,26.676727294921875
Florida,Q4,3.7,26.30193328857422
Georgia,Q4,2.5,19.118560791015625
Kentucky,Q4,2.7,22.513656616210938
Louisiana,Q4,2.2,49.628910064697266
Mississippi,Q4,2.5,28.864852905273438
North Carolina,Q4,2.9,45.701290130615234
South Carolina,Q4,3,17.78448486328125
Tennessee,Q4,3,23.999549865722656
Virginia,Q4,2.5,46.93727493286133
West Virginia,Q4,1,42.27238464355469
Arizona,Q4,3.1,18.871355056762695
New Mexico,Q4,1.6,44.61860656738281
Oklahoma,Q4,3.3,24.7269287109375
Texas,Q4,5.2,21.09136199951172
Colorado,Q4,3.2,56.348995208740234
Idaho,Q4,4.8,22.53520965576172
Montana,Q4,1.3,43.9496955871582
Utah,Q4,2.2,20.113540649414062
Wyoming,Q4,1.7,23.12206268310547
Alaska,Q4,3.1,40.99030303955078
California,Q4,3.4,70.38420867919922
Hawaii,Q4,2,69.13983917236328
Nevada,Q4,3,45.597965240478516
Oregon,Q4,3.7,66.78907012939453
Washington,Q4,3.1,61.82231521606445
